LR_Profit,totalcontr
5.546188171409842e7,165163.98419827464
5.474183497055146e7,165648.75045405325
6.5467077418019846e7,180637.9765466354
6.466677191396421e7,181123.03556405913
6.6993667069500774e7,181759.45318849507
6.733221917671831e7,182244.80550764172
6.798083544775873e7,182250.46752475205
6.665292219561556e7,182736.1136684493
6.80832441919802e7,183221.90692926903
6.769311635555553e7,183859.05945587764
