WeekNum,profit,totalcontr
147,56050920.48,159274.2414
148,55375755.68,159310.4985
149,65928278.73,164905.1246
150,65919182.47,164895.4457
151,65934453.45,164906.5224
152,65937115.40,164908.2956
153,66031236.73,165143.1925
154,66028120.63,165144.1131
155,66034625.11,165150.4111
156,66032365.48,165146.9977
