WeekNum,XGB_pt_prof,XGB_pt_contr
147,57458895.28,143745.9222
148,56927848.60,143782.1793
149,59732604.61,149376.8054
150,59727667.90,149367.1265
151,59734416.42,149378.2032
152,59735873.94,149379.9764
153,59829587.49,149614.8733
154,59828041.22,149615.7939
155,59832690.14,149622.0919
156,59831290.65,149618.6785
