profit,totalcontr
2048063.99,143294.4662
2020352.86,143307.7851
2189138.58,148934.2803
2187521.94,148924.6014
2192954.58,148933.0958
2195072.17,148936.032
2199099.68,149230.8281
2195508.11,149231.4004
2200391.41,149267.8165
2198533.47,149212.0083
