profit,totalcontr
56050920.48,159274.2414
55375755.68,159310.4985
65928278.73,164905.1246
65919182.47,164895.4457
65934453.45,164906.5224
65937115.40,164908.2956
66031236.73,165143.1925
66028120.63,165144.1131
66034625.11,165150.4111
66032365.48,165146.9977
