WeekNum,LR_pt_profit,LR_pt_totalcontr
147,56379459.54,141029.037
148,56568398.68,141513.8033
149,62576748.38,156503.0294
150,62769243.60,156988.0884
151,63026832.82,157624.506
152,63222468.29,158109.8583
153,63224782.59,158115.5204
154,63416412.95,158601.1665
155,63612790.36,159086.9598
156,63866969.47,159724.1123
