WeekNum,LR_Profit,totalcontr
147,55461881.71,165163.9842
148,54741834.97,165648.7505
149,65467077.42,180637.9765
150,64666771.91,181123.0356
151,66993667.07,181759.4532
152,67332219.18,182244.8055
153,67980835.45,182250.4675
154,66652922.20,182736.1137
155,68083244.19,183221.9069
156,67693116.36,183859.0595
